City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,villamontes,-21.25,-63.5,31.84,33,0,0.93,BO,1738416641
83,bethel,41.3712,-73.414,0.52,78,100,6.69,US,1738416452
84,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,45,75,4.0,RU,1738416644
85,filingue,14.3521,3.3168,32.06,9,100,3.13,NE,1738416645
86,aswan,24.0934,32.907,26.61,19,0,4.12,EG,1738416646
87,taroa,8.7058,171.2275,26.66,81,27,8.87,MH,1738416647
88,acarau,-2.8856,-40.12,29.62,64,100,5.81,BR,1738416628
89,zeya,53.75,127.2667,-17.36,99,100,0.85,RU,1738416650
90,hamilton,39.1834,-84.5333,-0.51,72,0,4.63,US,1738416651
91,college,64.8569,-147.8028,-21.63,66,100,0.0,US,1738416652
92,st. john's,47.5649,-52.7093,-5.02,83,100,3.6,CA,1738416618
93,pisco,-13.7,-76.2167,21.03,88,100,4.63,PE,1738416654
94,lompoc,34.6391,-120.4579,7.85,100,0,2.57,US,1738416655
95,georgetown,5.4112,100.3354,26.97,61,20,1.54,MY,1738416415
96,karwar,14.8,74.1333,26.38,69,29,5.41,IN,1738416658
97,puerto baquerizo moreno,-0.9,-89.6,24.31,86,63,1.97,EC,1738416659
98,auriflama,-20.6856,-50.5547,22.54,89,100,4.42,BR,1738416660
99,mount gambier,-37.8333,140.7667,15.25,77,0,2.17,AU,1738416661
100,weno,7.4515,151.8468,28.97,89,100,4.63,FM,1738416663
101,jamestown,42.097,-79.2353,-10.55,90,0,4.12,US,1738416372
102,port elizabeth,-33.918,25.5701,25.17,79,8,2.24,ZA,1738416665
103,kuusamo,65.9667,29.1833,-3.98,93,75,2.06,FI,1738416666
104,margaret river,-33.95,115.0667,16.78,84,4,5.8,AU,1738416668
105,port lincoln,-34.7333,135.8667,21.76,64,100,2.91,AU,1738416670
106,kapuskasing,49.4169,-82.4331,-26.95,83,20,1.54,CA,1738416671
107,cidreira,-30.1811,-50.2056,25.47,72,7,3.58,BR,1738416673
108,kristiansund,63.1115,7.732,2.29,64,0,2.57,NO,1738416674
109,minas de marcona,-15.2119,-75.1103,20.42,66,96,2.55,PE,1738416675
110,libreville,0.3925,9.4537,30.01,79,20,3.09,GA,1738416676
111,timbuktu,16.7735,-3.0074,27.56,10,3,5.71,ML,1738416677
112,nadi,-17.8,177.4167,24.0,88,100,5.66,FJ,1738416416
113,nouadhibou,20.931,-17.0347,20.99,49,0,8.75,MR,1738416680
114,richards bay,-28.783,32.0377,28.55,73,80,2.59,ZA,1738416681
